dataset,seed,norm_mode,graph_mode,encoder_mode,relation_mode,train_protocol,train_acc,val_acc,test_acc,best_val_acc,best_epoch,final_epoch,num_train_used_for_loss,num_val,num_test,num_channels,seq_len,num_classes
Cricket,1,train_global,no_graph,current,hgnn_zero,train_all_fixed_100,0.861111,nan,0.833333,nan,nan,100,108,0,72,6,1197,12
Cricket,2,train_global,no_graph,current,hgnn_zero,train_all_fixed_100,0.972222,nan,0.888889,nan,nan,100,108,0,72,6,1197,12
Cricket,0,train_global,no_graph,current,lowN_channel_attn,current_split,0.689655,0.523810,0.583333,0.523810,2,2,87,21,72,6,1197,12
Cricket,1,train_global,no_graph,current,lowN_channel_attn,current_split,0.747126,0.571429,0.652778,0.571429,6,6,87,21,72,6,1197,12
Cricket,2,train_global,no_graph,current,lowN_channel_attn,current_split,0.701149,0.666667,0.680556,0.666667,6,6,87,21,72,6,1197,12
Cricket,0,train_global,no_graph,current,lowN_channel_attn,stratified_split,0.758621,0.809524,0.611111,0.809524,11,11,87,21,72,6,1197,12
Cricket,1,train_global,no_graph,current,lowN_channel_attn,stratified_split,0.770115,0.761905,0.652778,0.761905,6,6,87,21,72,6,1197,12
Cricket,2,train_global,no_graph,current,lowN_channel_attn,stratified_split,0.896552,0.952381,0.888889,0.952381,27,27,87,21,72,6,1197,12
Cricket,0,train_global,no_graph,current,lowN_channel_attn,retrain_trainval,0.222222,0.809524,0.236111,0.809524,11,11,108,21,72,6,1197,12
Cricket,1,train_global,no_graph,current,lowN_channel_attn,retrain_trainval,0.120370,0.761905,0.138889,0.761905,6,6,108,21,72,6,1197,12
Cricket,2,train_global,no_graph,current,lowN_channel_attn,retrain_trainval,0.564815,0.952381,0.541667,0.952381,27,27,108,21,72,6,1197,12
Cricket,0,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_50,0.509259,nan,0.472222,nan,nan,50,108,0,72,6,1197,12
Cricket,1,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_50,0.629630,nan,0.652778,nan,nan,50,108,0,72,6,1197,12
Cricket,2,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_50,0.555556,nan,0.500000,nan,nan,50,108,0,72,6,1197,12
Cricket,0,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.925926,nan,0.847222,nan,nan,100,108,0,72,6,1197,12
Cricket,1,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.861111,nan,0.833333,nan,nan,100,108,0,72,6,1197,12
Cricket,2,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.972222,nan,0.888889,nan,nan,100,108,0,72,6,1197,12
ERing,0,train_global,no_graph,current,hgnn_zero,current_split,0.791667,0.666667,0.685185,0.666667,1,1,24,6,270,4,65,6
ERing,1,train_global,no_graph,current,hgnn_zero,current_split,0.250000,0.166667,0.270370,0.166667,1,1,24,6,270,4,65,6
ERing,2,train_global,no_graph,current,hgnn_zero,current_split,0.250000,0.666667,0.337037,0.666667,1,1,24,6,270,4,65,6
ERing,0,train_global,no_graph,current,hgnn_zero,stratified_split,0.708333,1.000000,0.707407,1.000000,1,1,24,6,270,4,65,6
ERing,1,train_global,no_graph,current,hgnn_zero,stratified_split,0.625000,0.666667,0.637037,0.666667,1,1,24,6,270,4,65,6
ERing,2,train_global,no_graph,current,hgnn_zero,stratified_split,0.791667,1.000000,0.755556,1.000000,1,1,24,6,270,4,65,6
ERing,0,train_global,no_graph,current,hgnn_zero,retrain_trainval,0.166667,1.000000,0.177778,1.000000,1,1,30,6,270,4,65,6
ERing,1,train_global,no_graph,current,hgnn_zero,retrain_trainval,0.166667,0.666667,0.192593,0.666667,1,1,30,6,270,4,65,6
ERing,2,train_global,no_graph,current,hgnn_zero,retrain_trainval,0.166667,1.000000,0.200000,1.000000,1,1,30,6,270,4,65,6
ERing,0,train_global,no_graph,current,hgnn_zero,train_all_fixed_50,0.666667,nan,0.588889,nan,nan,50,30,0,270,4,65,6
ERing,1,train_global,no_graph,current,hgnn_zero,train_all_fixed_50,0.700000,nan,0.674074,nan,nan,50,30,0,270,4,65,6
ERing,2,train_global,no_graph,current,hgnn_zero,train_all_fixed_50,0.866667,nan,0.781481,nan,nan,50,30,0,270,4,65,6
ERing,0,train_global,no_graph,current,hgnn_zero,train_all_fixed_100,0.833333,nan,0.737037,nan,nan,100,30,0,270,4,65,6
ERing,1,train_global,no_graph,current,hgnn_zero,train_all_fixed_100,0.766667,nan,0.740741,nan,nan,100,30,0,270,4,65,6
ERing,2,train_global,no_graph,current,hgnn_zero,train_all_fixed_100,0.833333,nan,0.770370,nan,nan,100,30,0,270,4,65,6
ERing,0,train_global,no_graph,current,lowN_channel_attn,current_split,0.583333,0.666667,0.562963,0.666667,1,1,24,6,270,4,65,6
ERing,1,train_global,no_graph,current,lowN_channel_attn,current_split,0.333333,0.333333,0.296296,0.333333,1,1,24,6,270,4,65,6
ERing,2,train_global,no_graph,current,lowN_channel_attn,current_split,0.416667,0.333333,0.425926,0.333333,1,1,24,6,270,4,65,6
ERing,0,train_global,no_graph,current,lowN_channel_attn,stratified_split,0.541667,0.666667,0.518519,0.666667,1,1,24,6,270,4,65,6
ERing,1,train_global,no_graph,current,lowN_channel_attn,stratified_split,0.541667,0.500000,0.485185,0.500000,2,2,24,6,270,4,65,6
ERing,2,train_global,no_graph,current,lowN_channel_attn,stratified_split,0.750000,0.666667,0.700000,0.666667,1,1,24,6,270,4,65,6
ERing,0,train_global,no_graph,current,lowN_channel_attn,retrain_trainval,0.133333,0.666667,0.137037,0.666667,1,1,30,6,270,4,65,6
ERing,1,train_global,no_graph,current,lowN_channel_attn,retrain_trainval,0.166667,0.500000,0.140741,0.500000,2,2,30,6,270,4,65,6
ERing,2,train_global,no_graph,current,lowN_channel_attn,retrain_trainval,0.166667,0.666667,0.166667,0.666667,1,1,30,6,270,4,65,6
ERing,0,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_50,0.766667,nan,0.740741,nan,nan,50,30,0,270,4,65,6
ERing,1,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_50,0.733333,nan,0.674074,nan,nan,50,30,0,270,4,65,6
