dataset,seed,norm_mode,graph_mode,train_acc,val_acc,test_acc,best_val_acc,best_epoch,num_train,num_val,num_test,num_channels,seq_len,num_classes
Libras,0,sample_global,no_graph,0.340278,0.222222,0.305556,0.222222,1,144,36,180,2,45,15
Libras,1,sample_global,no_graph,0.312500,0.277778,0.305556,0.277778,1,144,36,180,2,45,15
Libras,2,sample_global,no_graph,0.354167,0.277778,0.338889,0.277778,11,144,36,180,2,45,15
Libras,0,train_channel,no_graph,0.402778,0.250000,0.294444,0.250000,1,144,36,180,2,45,15
Libras,1,train_channel,no_graph,0.326389,0.333333,0.288889,0.333333,1,144,36,180,2,45,15
Libras,2,train_channel,no_graph,0.361111,0.222222,0.277778,0.222222,1,144,36,180,2,45,15
Libras,0,sample_channel,no_graph,0.388889,0.194444,0.266667,0.194444,1,144,36,180,2,45,15
Libras,1,sample_channel,no_graph,0.326389,0.305556,0.294444,0.305556,1,144,36,180,2,45,15
Libras,2,sample_channel,no_graph,0.305556,0.166667,0.238889,0.166667,1,144,36,180,2,45,15
Libras,0,train_global,no_graph,0.493056,0.277778,0.361111,0.277778,7,144,36,180,2,45,15
Libras,1,train_global,no_graph,0.340278,0.361111,0.316667,0.361111,1,144,36,180,2,45,15
Libras,2,train_global,no_graph,0.430556,0.250000,0.333333,0.250000,1,144,36,180,2,45,15
Libras,0,none,no_graph,0.055556,0.111111,0.066667,0.111111,1,144,36,180,2,45,15
Libras,1,none,no_graph,0.340278,0.277778,0.250000,0.277778,18,144,36,180,2,45,15
Libras,2,none,no_graph,0.298611,0.138889,0.200000,0.138889,11,144,36,180,2,45,15
UWaveGestureLibrary,0,sample_global,no_graph,0.656250,0.666667,0.512500,0.666667,1,96,24,320,3,315,8
UWaveGestureLibrary,1,sample_global,no_graph,0.541667,0.541667,0.453125,0.541667,4,96,24,320,3,315,8
UWaveGestureLibrary,2,sample_global,no_graph,0.531250,0.458333,0.384375,0.458333,1,96,24,320,3,315,8
UWaveGestureLibrary,0,train_channel,no_graph,0.656250,0.666667,0.512500,0.666667,1,96,24,320,3,315,8
UWaveGestureLibrary,1,train_channel,no_graph,0.541667,0.541667,0.453125,0.541667,4,96,24,320,3,315,8
UWaveGestureLibrary,2,train_channel,no_graph,0.531250,0.458333,0.384375,0.458333,1,96,24,320,3,315,8
UWaveGestureLibrary,0,sample_channel,no_graph,0.656250,0.666667,0.512500,0.666667,1,96,24,320,3,315,8
UWaveGestureLibrary,1,sample_channel,no_graph,0.541667,0.541667,0.453125,0.541667,4,96,24,320,3,315,8
UWaveGestureLibrary,2,sample_channel,no_graph,0.531250,0.458333,0.384375,0.458333,1,96,24,320,3,315,8
UWaveGestureLibrary,0,train_global,no_graph,0.656250,0.666667,0.512500,0.666667,1,96,24,320,3,315,8
UWaveGestureLibrary,1,train_global,no_graph,0.541667,0.541667,0.453125,0.541667,4,96,24,320,3,315,8
UWaveGestureLibrary,2,train_global,no_graph,0.531250,0.458333,0.384375,0.458333,1,96,24,320,3,315,8
UWaveGestureLibrary,0,none,no_graph,0.656250,0.666667,0.528125,0.666667,1,96,24,320,3,315,8
UWaveGestureLibrary,1,none,no_graph,0.541667,0.541667,0.453125,0.541667,4,96,24,320,3,315,8
UWaveGestureLibrary,2,none,no_graph,0.531250,0.458333,0.387500,0.458333,1,96,24,320,3,315,8
