dataset,seed,norm_mode,graph_mode,encoder_mode,relation_mode,train_protocol,train_acc,test_acc,final_epoch,num_train,num_test,num_channels,seq_len,num_classes
UWaveGestureLibrary,3,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.900000,0.700000,100,120,320,3,315,8
UWaveGestureLibrary,4,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.841667,0.650000,100,120,320,3,315,8
Cricket,0,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.925926,0.847222,100,108,72,6,1197,12
Cricket,1,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.861111,0.833333,100,108,72,6,1197,12
Cricket,2,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.972222,0.888889,100,108,72,6,1197,12
Cricket,3,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.898148,0.847222,100,108,72,6,1197,12
Cricket,4,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.870370,0.861111,100,108,72,6,1197,12
Libras,0,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.816667,0.694444,100,180,180,2,45,15
Libras,1,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.822222,0.672222,100,180,180,2,45,15
Libras,2,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.772222,0.644444,100,180,180,2,45,15
Libras,3,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.777778,0.644444,100,180,180,2,45,15
Libras,4,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.794444,0.672222,100,180,180,2,45,15
AtrialFibrillation,0,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,1.000000,0.400000,100,15,15,2,640,3
AtrialFibrillation,1,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,1.000000,0.266667,100,15,15,2,640,3
AtrialFibrillation,2,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,1.000000,0.266667,100,15,15,2,640,3
AtrialFibrillation,3,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,1.000000,0.266667,100,15,15,2,640,3
AtrialFibrillation,4,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,1.000000,0.400000,100,15,15,2,640,3
