dataset,seed,epoch,train_loss,train_acc
HandMovementDirection,1,10,1.380538,0.331250
HandMovementDirection,1,25,1.368727,0.431250
HandMovementDirection,1,50,1.341455,0.450000
HandMovementDirection,1,75,1.291242,0.462500
HandMovementDirection,1,100,1.174134,0.506250
HandMovementDirection,2,1,1.386633,0.256250
HandMovementDirection,2,10,1.379711,0.300000
HandMovementDirection,2,25,1.368104,0.400000
HandMovementDirection,2,50,1.338215,0.412500
HandMovementDirection,2,75,1.282627,0.506250
HandMovementDirection,2,100,1.167350,0.550000
HandMovementDirection,3,1,1.387204,0.250000
HandMovementDirection,3,10,1.379086,0.325000
HandMovementDirection,3,25,1.365191,0.387500
HandMovementDirection,3,50,1.331187,0.425000
HandMovementDirection,3,75,1.256133,0.531250
HandMovementDirection,3,100,1.102535,0.568750
HandMovementDirection,4,1,1.389731,0.250000
HandMovementDirection,4,10,1.379444,0.350000
HandMovementDirection,4,25,1.367925,0.331250
HandMovementDirection,4,50,1.335595,0.468750
HandMovementDirection,4,75,1.270714,0.518750
HandMovementDirection,4,100,1.140367,0.568750
SelfRegulationSCP2,0,1,0.693158,0.515000
SelfRegulationSCP2,0,10,0.688062,0.590000
SelfRegulationSCP2,0,25,0.682863,0.580000
SelfRegulationSCP2,0,50,0.675529,0.615000
SelfRegulationSCP2,0,75,0.667324,0.630000
SelfRegulationSCP2,0,100,0.655269,0.650000
SelfRegulationSCP2,1,1,0.697755,0.500000
SelfRegulationSCP2,1,10,0.687615,0.550000
SelfRegulationSCP2,1,25,0.684141,0.570000
SelfRegulationSCP2,1,50,0.676819,0.590000
SelfRegulationSCP2,1,75,0.668277,0.615000
SelfRegulationSCP2,1,100,0.656434,0.645000
SelfRegulationSCP2,2,1,0.691963,0.560000
SelfRegulationSCP2,2,10,0.686669,0.545000
SelfRegulationSCP2,2,25,0.680910,0.565000
SelfRegulationSCP2,2,50,0.673392,0.600000
SelfRegulationSCP2,2,75,0.664170,0.625000
SelfRegulationSCP2,2,100,0.650897,0.650000
SelfRegulationSCP2,3,1,0.696991,0.500000
SelfRegulationSCP2,3,10,0.689612,0.505000
SelfRegulationSCP2,3,25,0.683717,0.580000
SelfRegulationSCP2,3,50,0.676621,0.600000
SelfRegulationSCP2,3,75,0.670349,0.625000
SelfRegulationSCP2,3,100,0.660652,0.625000
SelfRegulationSCP2,4,1,0.693481,0.450000
SelfRegulationSCP2,4,10,0.687725,0.575000
SelfRegulationSCP2,4,25,0.681245,0.565000
SelfRegulationSCP2,4,50,0.672787,0.615000
SelfRegulationSCP2,4,75,0.662653,0.635000
SelfRegulationSCP2,4,100,0.649835,0.655000
ERing,0,1,1.799746,0.133333
ERing,0,10,1.769500,0.200000
ERing,0,25,1.666413,0.300000
ERing,0,50,1.175825,0.766667
ERing,0,75,0.617291,1.000000
ERing,0,100,0.241562,1.000000
ERing,1,1,1.796933,0.166667
ERing,1,10,1.755169,0.200000
ERing,1,25,1.658551,0.266667
ERing,1,50,1.211294,0.733333
ERing,1,75,0.634810,0.933333
ERing,1,100,0.295971,0.966667
ERing,2,1,1.792971,0.166667
ERing,2,10,1.761923,0.300000
ERing,2,25,1.603169,0.433333
ERing,2,50,1.075827,0.766667
ERing,2,75,0.576129,0.966667
ERing,2,100,0.227529,0.966667
ERing,3,1,1.782474,0.166667
ERing,3,10,1.736071,0.566667
ERing,3,25,1.584761,0.533333
ERing,3,50,1.100040,0.900000
ERing,3,75,0.636334,0.966667
ERing,3,100,0.283222,1.000000
ERing,4,1,1.793314,0.166667
ERing,4,10,1.746258,0.333333
ERing,4,25,1.572064,0.533333
ERing,4,50,1.064673,0.833333
ERing,4,75,0.582420,0.966667
ERing,4,100,0.259902,1.000000
UWaveGestureLibrary,0,1,2.079637,0.125000
UWaveGestureLibrary,0,10,2.064079,0.175000
UWaveGestureLibrary,0,25,2.036983,0.200000
UWaveGestureLibrary,0,50,1.737179,0.608333
UWaveGestureLibrary,0,75,1.128504,0.808333
UWaveGestureLibrary,0,100,0.643365,0.883333
UWaveGestureLibrary,1,1,2.084173,0.158333
UWaveGestureLibrary,1,10,2.075225,0.125000
UWaveGestureLibrary,1,25,1.995040,0.150000
UWaveGestureLibrary,1,50,1.596107,0.583333
UWaveGestureLibrary,1,75,1.105676,0.775000
UWaveGestureLibrary,1,100,0.625680,0.908333
UWaveGestureLibrary,2,1,2.088029,0.125000
UWaveGestureLibrary,2,10,2.065288,0.150000
UWaveGestureLibrary,2,25,2.012038,0.275000
UWaveGestureLibrary,2,50,1.598912,0.616667
UWaveGestureLibrary,2,75,1.096040,0.800000
UWaveGestureLibrary,2,100,0.693534,0.883333
UWaveGestureLibrary,3,1,2.082271,0.125000
UWaveGestureLibrary,3,10,2.068049,0.191667
UWaveGestureLibrary,3,25,2.028906,0.250000
UWaveGestureLibrary,3,50,1.670696,0.616667
UWaveGestureLibrary,3,75,1.212868,0.683333
UWaveGestureLibrary,3,100,0.590863,0.900000
UWaveGestureLibrary,4,1,2.078810,0.125000
UWaveGestureLibrary,4,10,2.060768,0.133333
UWaveGestureLibrary,4,25,2.016171,0.225000
UWaveGestureLibrary,4,50,1.671832,0.566667
UWaveGestureLibrary,4,75,1.151482,0.775000
UWaveGestureLibrary,4,100,0.675257,0.841667
Cricket,0,1,2.487149,0.083333
Cricket,0,10,2.455146,0.222222
Cricket,0,25,2.373728,0.555556
Cricket,0,50,2.072059,0.509259
Cricket,0,75,1.475366,0.759259
Cricket,0,100,0.905174,0.925926
Cricket,1,1,2.498321,0.037037
Cricket,1,10,2.461069,0.157407
Cricket,1,25,2.389801,0.351852
Cricket,1,50,2.144001,0.629630
Cricket,1,75,1.576989,0.712963
Cricket,1,100,0.903505,0.861111
Cricket,2,1,2.486723,0.092593
Cricket,2,10,2.445591,0.138889
Cricket,2,25,2.349945,0.592593
Cricket,2,50,1.936187,0.555556
Cricket,2,75,1.356899,0.759259
Cricket,2,100,0.834690,0.972222
Cricket,3,1,2.489038,0.092593
Cricket,3,10,2.450250,0.166667
Cricket,3,25,2.369590,0.444444
Cricket,3,50,2.010014,0.611111
Cricket,3,75,1.436520,0.750000
Cricket,3,100,0.871823,0.898148
Cricket,4,1,2.508535,0.083333
Cricket,4,10,2.455307,0.166667
Cricket,4,25,2.378034,0.490741
Cricket,4,50,2.140790,0.768519
Cricket,4,75,1.510689,0.731481
Cricket,4,100,0.806776,0.870370
Libras,0,1,2.716146,0.066667
Libras,0,10,2.659914,0.127778
Libras,0,25,2.516676,0.300000
Libras,0,50,2.069602,0.600000
Libras,0,75,1.495552,0.694444
Libras,0,100,0.986515,0.816667
Libras,1,1,2.715495,0.050000
Libras,1,10,2.674569,0.100000
Libras,1,25,2.543288,0.227778
Libras,1,50,2.061103,0.588889
Libras,1,75,1.523415,0.727778
Libras,1,100,1.005571,0.822222
Libras,2,1,2.727343,0.116667
Libras,2,10,2.675915,0.122222
Libras,2,25,2.536863,0.283333
Libras,2,50,2.085270,0.583333
Libras,2,75,1.531404,0.672222
Libras,2,100,1.058648,0.772222
Libras,3,1,2.706539,0.122222
Libras,3,10,2.659879,0.216667
Libras,3,25,2.524132,0.311111
Libras,3,50,2.077608,0.488889
Libras,3,75,1.547683,0.694444
Libras,3,100,1.045551,0.777778
Libras,4,1,2.707236,0.105556
Libras,4,10,2.660399,0.105556
Libras,4,25,2.486927,0.238889
Libras,4,50,2.008309,0.550000
Libras,4,75,1.511847,0.738889
Libras,4,100,1.064078,0.794444
AtrialFibrillation,0,1,1.092923,0.400000
AtrialFibrillation,0,10,1.061921,0.400000
AtrialFibrillation,0,25,0.935876,0.733333
AtrialFibrillation,0,50,0.617656,0.933333
AtrialFibrillation,0,75,0.263157,1.000000
AtrialFibrillation,0,100,0.078311,1.000000
AtrialFibrillation,1,1,1.105641,0.333333
AtrialFibrillation,1,10,1.058092,0.733333
AtrialFibrillation,1,25,0.924317,0.600000
AtrialFibrillation,1,50,0.607868,1.000000
AtrialFibrillation,1,75,0.300985,1.000000
AtrialFibrillation,1,100,0.114104,1.000000
AtrialFibrillation,2,1,1.112221,0.333333
AtrialFibrillation,2,10,1.076939,0.466667
AtrialFibrillation,2,25,0.996025,0.600000
AtrialFibrillation,2,50,0.716139,0.866667
AtrialFibrillation,2,75,0.378782,1.000000
AtrialFibrillation,2,100,0.128466,1.000000
AtrialFibrillation,3,1,1.099725,0.333333
AtrialFibrillation,3,10,1.072039,0.333333
AtrialFibrillation,3,25,0.954908,0.733333
AtrialFibrillation,3,50,0.714302,0.800000
AtrialFibrillation,3,75,0.430125,0.866667
AtrialFibrillation,3,100,0.207169,1.000000
AtrialFibrillation,4,1,1.093222,0.333333
AtrialFibrillation,4,10,1.073365,0.400000
AtrialFibrillation,4,25,0.930957,0.666667
AtrialFibrillation,4,50,0.558277,1.000000
AtrialFibrillation,4,75,0.247141,1.000000
AtrialFibrillation,4,100,0.079098,1.000000
