dataset,seed,graph_mode,sample_k,sim_threshold,dropedge,use_residual_gcn,final_alpha,train_acc,val_acc,test_acc,best_val_acc,best_epoch,num_train,num_val,num_test,num_channels,seq_len,num_classes,train_graph_avg_degree,train_graph_homophily,test_graph_avg_degree,test_graph_homophily_diagnostic_only
Cricket,0,mutual_knn_threshold,5,0.5,0.2,True,0.048203,0.712644,0.666667,0.625000,0.666667,5,87,21,72,6,1197,12,3.5,0.9259259104728699,3.722222328186035,0.8208954930305481
Cricket,1,mutual_knn_threshold,5,0.5,0.2,True,0.048612,0.597701,0.428571,0.555556,0.428571,1,87,21,72,6,1197,12,3.7037036418914795,0.8999999761581421,4.055555820465088,0.8219177722930908
Cricket,2,mutual_knn_threshold,5,0.5,0.2,True,0.048858,0.770115,0.523810,0.680556,0.523810,18,87,21,72,6,1197,12,3.629629611968994,0.9234693646430969,4.222222328186035,0.8486841917037964
Cricket,0,mutual_knn,3,0.5,0.2,True,0.048203,0.701149,0.666667,0.625000,0.666667,5,87,21,72,6,1197,12,2.0185184478759766,0.9541283845901489,2.055555582046509,0.8108108043670654
Cricket,1,mutual_knn,3,0.5,0.2,True,0.048612,0.597701,0.428571,0.541667,0.428571,1,87,21,72,6,1197,12,2.0370371341705322,0.9545454382896423,2.0833332538604736,0.893333375453949
Cricket,2,mutual_knn,3,0.5,0.2,True,0.048879,0.781609,0.571429,0.694444,0.571429,21,87,21,72,6,1197,12,2.0185184478759766,0.9449540972709656,2.194444417953491,0.9113924503326416
Cricket,0,mutual_knn,10,0.5,0.2,True,0.048203,0.701149,0.666667,0.625000,0.666667,5,87,21,72,6,1197,12,7.462963104248047,0.7568238377571106,7.138888835906982,0.5136186480522156
Cricket,1,mutual_knn,10,0.5,0.2,True,0.048612,0.597701,0.428571,0.555556,0.428571,1,87,21,72,6,1197,12,7.833333492279053,0.7754136919975281,7.638888835906982,0.5272727012634277
Cricket,2,mutual_knn,10,0.5,0.2,True,0.048879,0.793103,0.571429,0.680556,0.571429,17,87,21,72,6,1197,12,7.833333492279053,0.8156028389930725,7.138888835906982,0.5797665119171143
ERing,0,no_graph,5,0.5,0.0,True,0.000000,0.250000,0.333333,0.174074,0.333333,1,24,6,270,4,65,6,,,,
ERing,1,no_graph,5,0.5,0.0,True,0.000000,0.458333,0.666667,0.503704,0.666667,1,24,6,270,4,65,6,,,,
ERing,2,no_graph,5,0.5,0.0,True,0.000000,0.666667,0.833333,0.644444,0.833333,1,24,6,270,4,65,6,,,,
ERing,0,current,5,0.5,0.0,True,0.047127,0.541667,0.333333,0.481481,0.333333,1,24,6,270,4,65,6,4.933333396911621,0.5810810923576355,5.518518447875977,0.8375838994979858
ERing,1,current,5,0.5,0.0,True,0.047896,0.500000,0.666667,0.555556,0.666667,1,24,6,270,4,65,6,5.200000286102295,0.5512820482254028,5.525925636291504,0.8726541996002197
ERing,2,current,5,0.5,0.0,True,0.047560,0.666667,0.833333,0.644444,0.833333,1,24,6,270,4,65,6,4.733333587646484,0.6760563254356384,5.518518447875977,0.8791946768760681
ERing,0,mutual_knn,5,0.5,0.0,True,0.047127,0.541667,0.333333,0.481481,0.333333,1,24,6,270,4,65,6,3.9333336353302,0.5423728823661804,3.1777777671813965,0.8974359035491943
ERing,1,mutual_knn,5,0.5,0.0,True,0.047896,0.500000,0.666667,0.555556,0.666667,1,24,6,270,4,65,6,3.6666667461395264,0.5999999642372131,3.0962963104248047,0.8995214700698853
ERing,2,mutual_knn,5,0.5,0.0,True,0.047560,0.666667,0.833333,0.640741,0.833333,1,24,6,270,4,65,6,4.066667079925537,0.7213114500045776,3.103703737258911,0.9212411046028137
ERing,0,mutual_knn,5,0.5,0.2,True,0.047127,0.541667,0.333333,0.470370,0.333333,1,24,6,270,4,65,6,3.9333336353302,0.5423728823661804,3.200000047683716,0.8981481790542603
