dataset,mode,model,acc,f1
UWaveGestureLibrary,period,KNN_k5,0.5062,0.4948
UWaveGestureLibrary,period,GradientBoosting,0.5000,0.5018
Cricket,flat,LogisticRegression,0.9306,0.9260
Cricket,flat,RandomForest,0.9028,0.9005
Cricket,flat,SVM_RBF,0.9444,0.9430
Cricket,flat,KNN_k5,0.9167,0.9121
Cricket,flat,GradientBoosting,0.5278,0.4971
Cricket,period,LogisticRegression,0.8472,0.8397
Cricket,period,RandomForest,0.8194,0.8061
Cricket,period,SVM_RBF,0.8472,0.8474
Cricket,period,KNN_k5,0.7917,0.7772
Cricket,period,GradientBoosting,0.6528,0.6356
Libras,flat,LogisticRegression,0.7778,0.7707
Libras,flat,RandomForest,0.7333,0.7346
Libras,flat,SVM_RBF,0.7333,0.7159
Libras,flat,KNN_k5,0.6278,0.6249
Libras,flat,GradientBoosting,0.6556,0.6497
Libras,period,LogisticRegression,0.7111,0.6992
Libras,period,RandomForest,0.8000,0.7957
Libras,period,SVM_RBF,0.7278,0.7226
Libras,period,KNN_k5,0.6278,0.6145
Libras,period,GradientBoosting,0.5833,0.5829
AtrialFibrillation,flat,LogisticRegression,0.4000,0.3444
AtrialFibrillation,flat,RandomForest,0.2000,0.1818
AtrialFibrillation,flat,SVM_RBF,0.5333,0.4850
AtrialFibrillation,flat,KNN_k5,0.4000,0.3205
AtrialFibrillation,flat,GradientBoosting,0.3333,0.2667
AtrialFibrillation,period,LogisticRegression,0.2667,0.2095
AtrialFibrillation,period,RandomForest,0.2667,0.2095
AtrialFibrillation,period,SVM_RBF,0.2667,0.2645
AtrialFibrillation,period,KNN_k5,0.3333,0.2762
AtrialFibrillation,period,GradientBoosting,0.2667,0.2323
